Binary number,Number as an integer,Description,Binary number,Number as an integer,Description,Binary number,Number as an integer,Description
0,0,Null,101011,43,+,1010110,86,V
1,1,Start of Heading,101100,44,",",1010111,87,W
10,2,Start of Text,101101,45,-,1011000,88,X
11,3,End of Text,101110,46,.,1011001,89,Y
100,4,End of Transmission,101111,47,/,1011010,90,Z
101,5,Enquiry,110000,48,0,1011011,91,[
110,6,Acknowledge,110001,49,1,1011100,92,\
111,7,"Bell, Alert",110010,50,2,1011101,93,]
1000,8,Backspace,110011,51,3,1011110,94,^
1001,9,Horizontal Tab,110100,52,4,1011111,95,_
1010,10,Line Feed,110101,53,5,1100000,96,`
1011,11,Vertical Tab,110110,54,6,1100001,97,a
1100,12,Form Feed,110111,55,7,1100010,98,b
1101,13,Carriage Return,111000,56,8,1100011,99,c
1110,14,Shift Out,111001,57,9,1100100,100,d
1111,15,Shift In,111010,58,:,1100101,101,e
10000,16,Data Link Escape,111011,59,;,1100110,102,f
10001,17,Device Control One,111100,60,<,1100111,103,g
10010,18,Device Control Two,111101,61,=,1101000,104,h
10011,19,Device Control Three,111110,62,>,1101001,105,i
10100,20,Device Control Four,111111,63,?,1101010,106,j
10101,21,Negative Acknowledge,1000000,64,@,1101011,107,k
10110,22,Synchronous Idle,1000001,65,A,1101100,108,l
10111,23,End of Transmission Block,1000010,66,B,1101101,109,m
11000,24,Cancel,1000011,67,C,1101110,110,n
11001,25,End of medium,1000100,68,D,1101111,111,o
11010,26,Substitute,1000101,69,E,1110000,112,p
11011,27,Escape,1000110,70,F,1110001,113,q
11100,28,File Separator,1000111,71,G,1110010,114,r
11101,29,Group Separator,1001000,72,H,1110011,115,s
11110,30,Record Separator,1001001,73,I,1110100,116,t
11111,31,Unit Separator,1001010,74,J,1110101,117,u
100000,32,Space,1001011,75,K,1110110,118,v
100001,33,!,1001100,76,L,1110111,119,w
100010,34,"""",1001101,77,M,1111000,120,x
100011,35,#,1001110,78,N,1111001,121,y
100100,36,$,1001111,79,O,1111010,122,z
100101,37,%,1010000,80,P,1111011,123,{
100110,38,&,1010001,81,Q,1111100,124,|
100111,39,,1010010,82,R,1111101,125,}
101000,40,(,1010011,83,S,1111110,126,~
101001,41,),1010100,84,T,1111111,127,Delete
101010,42,*,1010101,85,U,,,
